Atom_Index,Symbol,Displacement_on_a_axis_A
1,C,0.001258149517738616
2,C,0.0012581977137382516
3,C,0.0005478343188420887
4,C,0.0005481531448419119
5,C,-0.0018038963510105255
6,C,-0.0018037077270105506
7,C,-0.0032149468512359114
8,C,-0.0032156782752350566
9,C,-0.00714199959993822
10,C,-0.007142741037936773
11,C,-0.00791494886894295
12,C,-0.007915280760943055
13,C,-0.003954013388687838
14,C,-0.003953352182688441
15,C,-0.000668422776919253
16,C,-0.000667772610919215
17,C,-0.0009025099342188092
18,C,-0.0009030160862195658
19,C,0.001351541396829914
20,C,0.0013515636988294943
21,C,0.001265762303305884
22,C,0.0012652834153055181
23,C,0.008153769867241145
24,C,0.008152968975240649
25,C,0.007622093459388246
26,C,0.007622561529389005
27,C,0.0060801668462353575
28,C,0.006080006084234757
29,C,0.0024978649419153953
30,C,0.0024983845839150476
31,C,-0.0007655031460078732
32,C,-0.0007650286860090283
33,C,-0.005380880628189644
34,C,-0.005380985620190071
35,C,-0.006422075888762535
36,C,-0.0064221932227619405
37,C,-0.0029148392051157046
38,C,-0.0029149127931147323
39,C,0.001421443703220504
40,C,0.0014213237952205304
41,C,0.00433966294390431
42,C,0.004339776459904243
43,C,0.007130187327801352
44,C,0.00713033491580195
45,H,0.0018641831298236156
46,H,0.0018635748298239108
47,H,-0.0024241077894222585
48,H,-0.002423371883423009
49,H,-0.008993333870010112
50,H,-0.008992628216010434
51,H,-0.010553667711304282
52,H,-0.01055294088730463
53,H,-0.003348745208559656
54,H,-0.0033486985645609924
55,H,0.0028461632854561714
56,H,0.002845546461455628
57,H,0.00335470248968317
58,H,0.0033554218376830036
59,H,0.008654066773960523
60,H,0.008654175141959985
61,H,0.007398292574499088
62,H,0.007397482926498888
63,H,0.0009438660252012454
64,H,0.0009432710872019356
65,H,-0.00828175717629831
66,H,-0.008282161798297771
67,H,-0.010617410423223284
68,H,-0.010618135067222756
69,H,-0.0032139920219045326
70,H,-0.0032143660639043503
71,H,0.003966953065259737
72,H,0.003967137409260246
