element,frac_a,frac_b,frac_c
C,0.7023077366,0.4030816333,0.0152039498
C,0.2976922634,0.5969183667,0.9847960502
C,0.544286193,0.3738982827,0.0870502454
C,0.455713807,0.6261017173,0.9129497546
C,0.581367527,0.2505864988,0.1743336525
C,0.418632473,0.7494135012,0.8256663475
C,0.42410357,0.2231233324,0.2455273205
C,0.57589643,0.7768766676,0.7544726795
C,0.4604202519,0.0992510688,0.3343722654
C,0.5395797481,0.9007489312,0.6656277346
C,0.3027427557,0.0757444365,0.4031929356
C,0.6972572443,0.9242555635,0.5968070644
C,0.0986993937,0.1745802831,0.387781529
C,0.9013006063,0.8254197169,0.612218471
C,0.0565728317,0.2941625058,0.3037906249
C,0.9434271683,0.7058374942,0.6962093751
C,0.2158889573,0.3231051541,0.2297870115
C,0.7841110427,0.6768948459,0.7702129885
C,0.1771807425,0.4445541385,0.1438930763
C,0.8228192575,0.5554458615,0.8561069237
C,0.6645680623,0.5260799196,0.9287423302
C,0.3354319377,0.4739200804,0.0712576698
C,0.8168654457,0.9557592604,0.9601054442
C,0.1831345543,0.0442407396,0.0398945558
C,0.8441282014,0.9010598732,0.0583361926
C,0.1558717986,0.0989401268,0.9416638074
C,0.6939257627,0.8025360748,0.1186575076
C,0.3060742373,0.1974639252,0.8813424924
C,0.7222931309,0.7479942928,0.2160678477
C,0.2777068691,0.2520057072,0.7839321523
C,0.5717142007,0.6468455575,0.2773966493
C,0.4282857993,0.3531544425,0.7226033507
C,0.6037837302,0.5938494598,0.3729282251
C,0.3962162698,0.4061505402,0.6270717749
C,0.788251926,0.6391569961,0.4134921695
C,0.211748074,0.3608430039,0.5865078305
C,0.9371728671,0.7353617968,0.3573256983
C,0.0628271329,0.2646382032,0.6426743017
C,0.9109615318,0.7932935332,0.2571729748
C,0.0890384682,0.2067064668,0.7428270252
C,0.0599911305,0.8909072101,0.1984487807
C,0.9400088695,0.1090927899,0.8015512193
C,0.9667628034,0.0534271542,0.9004399231
C,0.0332371966,0.9465728458,0.0995600769
H,0.8585277116,0.3283020605,0.0268576381
H,0.1414722884,0.6716979395,0.9731423619
H,0.7375185187,0.1757027567,0.1861301091
H,0.2624814813,0.8242972433,0.8138698909
H,0.6158482209,0.0231893398,0.3459948861
H,0.3841517791,0.9768106602,0.6540051139
H,0.3329165145,0.9808388276,0.470387877
H,0.6670834855,0.0191611724,0.529612123
H,0.9760614239,0.1546061595,0.4435659269
H,0.0239385761,0.8453938405,0.5564340731
H,0.9010055044,0.3696994061,0.2920980187
H,0.0989944956,0.6303005939,0.7079019813
H,0.0210979348,0.5195862543,0.1322982508
H,0.9789020652,0.4804137457,0.8677017492
H,0.6755743298,0.9215276162,0.9292954371
H,0.3244256702,0.0784723838,0.0707045629
H,0.5526058263,0.768246021,0.0878827124
H,0.4473941737,0.231753979,0.9121172876
H,0.4309827077,0.6121903895,0.2464795746
H,0.5690172923,0.3878096105,0.7535204254
H,0.4883853029,0.5152147594,0.418152105
H,0.5116146971,0.4847852406,0.581847895
H,0.8113195589,0.5964184548,0.4895701842
H,0.1886804411,0.4035815452,0.5104298158
H,0.0791037666,0.7695423277,0.3876975102
H,0.9208962334,0.2304576723,0.6123024898
H,0.2010596375,0.9252720778,0.2293646932
H,0.7989403625,0.0747279222,0.7706353068
